0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277 0.1277
0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633 0.1633
0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642
0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589 0.1589
0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449 0.0449
0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107 0.107
0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.03
0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438 0.0438
0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002 0.1002
0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321 0.0321
